complaint_id,complaint_text,language,category,location,priority,resolution_days,created_date,assigned_officer
COM_0012,Las losas de acera desiguales en Jawaharlal Nehru Marg hacen imposible que usuarios de sillas de ruedas circulen seguros.,Spanish,Housing & Infrastructure,East Zone,Low,12,2025-11-16 01:59:47,OFF_049
COM_0013,Le mur du balcon de l'ancien immeuble à Commercial Street présente de larges fissures et semble sur le point de s'effondrer.,French,Housing & Infrastructure,South Zone,High,3,2025-07-05 13:33:47,OFF_051
COM_0014,Un urbanista está talando árboles en terrenos públicos en Lal Bahadur Shastri Marg sin permisos ambientales.,Spanish,Environmental Protection,West Zone,Medium,2,2025-07-22 12:21:47,OFF_040
COM_0015,我们需要对Netaji Subhash Chandra Bose Road进行清扫。路边的碎屑正堵塞着雨水槽。,Chinese,Sanitation,Central Zone,Low,9,2025-08-05 13:49:47,OFF_053
COM_0016,我们位于Vittal Mallya Road的电表完全坏了，屏幕空白但电力仍然通畅。,Chinese,Electricity & Power,Central Zone,Low,16,2026-03-05 14:04:47,OFF_031
COM_0017,हमें Sardar Patel Marg पर सड़क सफाई की आवश्यकता है। कर्ब पर मलबा गटरों को अवरुद्ध कर रहा है।,Hindi,Sanitation,South Zone,Low,15,2026-02-19 14:47:47,OFF_011
COM_0018,Outer Ring Road पर सीवर का गंदा पानी बाहर बह रहा है। दुर्गंधयुक्त काला गंदा पानी सड़क और रास्तों में भर रहा है।,Hindi,Sanitation,South Zone,High,4,2025-07-09 03:16:47,OFF_011
COM_0019,La línea de alcantarillado bloqueada ha hecho que las aguas residuales regresen a los sótanos en Commercial Street.,Spanish,Sanitation,North Zone,High,4,2026-01-22 12:10:47,OFF_006
COM_0020,सीवर लाइन बंद होने से MG Road पर घरों के बेसमेंट में सीवेज का पानी वापस आ गया है।,Hindi,Sanitation,Central Zone,High,1,2025-10-28 12:01:47,OFF_008
COM_0021,Park Street附近的公共花园围栏破损，长椅遭到恶意破坏。,Chinese,Housing & Infrastructure,Central Zone,Low,13,2025-10-15 12:38:47,OFF_024
COM_0022,Plusieurs résidents de la rue Lal Bahadur Shastri Marg signalent être tombés malades à cause de l'eau du robinet. L'eau est jaunâtre.,French,Water Supply,South Zone,High,2,2026-02-26 00:05:47,OFF_001
COM_0023,MG Road的一位居民整天开着吵闹的发电机，产生了过度的噪音震动。,Chinese,Public Health,North Zone,Low,6,2026-01-20 04:10:47,OFF_018
COM_0024,Les feux de signalisation à l'intersection de Vittal Mallya Road sont en panne. C'est le chaos et les accidents sont proches.,French,Traffic & Roads,East Zone,High,2,2025-12-30 08:00:47,OFF_021
COM_0025,Multiple residents on Park Street report falling sick from tap water. The water color is yellowish and murky.,English,Water Supply,North Zone,High,1,2026-04-26 01:56:47,OFF_002
COM_0026,Someone dumped piles of old tires and construction debris on the empty lot at Commercial Street.,English,Environmental Protection,North Zone,Medium,5,2026-01-26 20:14:47,OFF_043
COM_0027,Sardar Patel Marg पर फुटपाथ के ऊपर हाई-वोल्टेज बिजली का तार बहुत नीचे लटका हुआ है। राहगीर खतरे में हैं।,Hindi,Electricity & Power,East Zone,High,1,2025-11-04 02:44:47,OFF_034
COM_0028,Lal Bahadur Shastri Marg的多位居民反映因喝自来水而生病。水色发黄且浑浊。,Chinese,Water Supply,West Zone,High,1,2026-03-28 22:00:47,OFF_002
COM_0029,Dumping of electronic appliances and old mattresses on the roadside at Outer Ring Road.,English,Environmental Protection,Central Zone,Medium,7,2025-11-22 16:34:47,OFF_044
COM_0030,"Illegal chemical discharge from the factory into the local stream near Mall Road, killing fish.",English,Environmental Protection,North Zone,High,4,2026-01-05 10:47:47,OFF_002
COM_0031,Maleza alta y basura en el parque local de Brigade Road. Parece descuidado y abandonado.,Spanish,Housing & Infrastructure,Central Zone,Low,13,2026-02-28 14:36:47,OFF_049
COM_0032,Mall Road上夜间持续发生巨大的施工噪音。他们正在超出法定时间工作。,Chinese,Public Health,South Zone,Low,5,2026-01-14 06:55:47,OFF_018
COM_0033,Lal Bahadur Shastri Marg的一位居民整天开着吵闹的发电机，产生了过度的噪音震动。,Chinese,Public Health,East Zone,Medium,4,2025-09-14 10:58:47,OFF_036
COM_0034,"Le signal piéton clignote de manière erratique sur Sardar Patel Marg, semant la confusion pour les piétons.",French,Traffic & Roads,Central Zone,High,1,2025-12-23 14:42:47,OFF_021
COM_0035,Senapati Bapat Marg पर अपार्टमेंट ब्लॉक की रिटेनिंग वॉल में गहरी संरचनात्मक दरारें पाई गई हैं।,Hindi,Housing & Infrastructure,West Zone,High,1,2025-09-19 11:51:47,OFF_034
COM_0036,Senapati Bapat Marg的主排水沙井溢出。污水正在冒泡，造成健康隐患。,Chinese,Sanitation,Central Zone,High,5,2026-03-06 09:29:47,OFF_001
COM_0037,Odeur fétide de soufre provenant de l'usine industrielle à Sardar Patel Marg. Cela donne des maux de tête.,French,Environmental Protection,South Zone,High,3,2025-07-29 22:41:47,OFF_001
COM_0038,"La acera de hormigón en Commercial Street está doblada y agrietada por las raíces, lo que representa peligro de tropezar.",Spanish,Housing & Infrastructure,West Zone,Low,13,2026-02-21 18:25:47,OFF_019
COM_0039,Il y a une rupture majeure de canalisation d'eau sur Chandni Chowk. L'inondation se propage rapidement sur la route.,French,Water Supply,South Zone,High,4,2025-08-01 07:09:47,OFF_001
COM_0040,"Depuis trois jours, le débit d'eau est très faible sur Linking Road. Veuillez inspecter les conduites d'alimentation.",French,Water Supply,West Zone,Low,9,2025-10-21 14:37:47,OFF_021
COM_0041,Vi ratas corriendo dentro de la cocina del restaurante en Sardar Patel Marg. Es una gran amenaza para la higiene.,Spanish,Public Health,West Zone,High,1,2026-02-04 01:43:47,OFF_027
COM_0042,Someone is cutting down protected ancient trees in the reserve park near Linking Road without permission.,English,Environmental Protection,Central Zone,Medium,2,2025-07-28 16:55:47,OFF_042
COM_0043,Chhatrapati Shivaji Maharaj Marg的一位居民整天开着吵闹的发电机，产生了过度的噪音震动。,Chinese,Public Health,Central Zone,Low,5,2026-03-26 12:26:47,OFF_031
COM_0044,Smart meter at Dr. B.R. Ambedkar Road shows error code E-12. Please send a technician to check it.,English,Electricity & Power,South Zone,Low,13,2025-07-09 04:22:47,OFF_034
COM_0045,"Lots of leaves, dirt, and gravel have accumulated on MG Road. The street sweeper hasn't visited in a month.",English,Sanitation,West Zone,Low,14,2025-06-14 06:25:47,OFF_019
COM_0046,"Chhatrapati Shivaji Maharaj Marg के पास की फैक्ट्री से घना, काला रासायनिक धुआं निकल रहा है। पड़ोस में सांस लेना मुश्किल है।",Hindi,Environmental Protection,East Zone,High,3,2025-07-26 16:21:47,OFF_025
COM_0047,Quelqu'un a déversé des tas de vieux pneus et de gravats de chantier sur le terrain vague à Jawaharlal Nehru Marg.,French,Environmental Protection,North Zone,Medium,9,2026-03-16 08:35:47,OFF_043
COM_0048,Plusieurs résidents de la rue Lal Bahadur Shastri Marg signalent être tombés malades à cause de l'eau du robinet. L'eau est jaunâtre.,French,Water Supply,East Zone,High,2,2025-07-09 18:09:47,OFF_007
COM_0049,"Un habitant de la rue Sardar Patel Marg fait tourner un générateur bruyant toute la journée, créant des vibrations.",French,Public Health,North Zone,Low,10,2026-03-19 17:08:47,OFF_032
COM_0050,Les dalles de trottoir inégales à Netaji Subhash Chandra Bose Road rendent l'accès impossible pour les fauteuils roulants.,French,Housing & Infrastructure,South Zone,Low,11,2025-10-18 04:44:47,OFF_021
COM_0051,Senapati Bapat Marg पर नाइट क्लब से रात 2 बजे के बाद बहुत तेज़ संगीत बज रहा है। निवासी सो नहीं पा रहे हैं।,Hindi,Public Health,East Zone,Low,6,2025-07-21 04:28:47,OFF_020
COM_0052,Lal Bahadur Shastri Marg पर रात में लगातार निर्माण कार्य का तेज़ शोर हो रहा है। वे कानूनी समय के बाद भी काम कर रहे हैं।,Hindi,Public Health,Central Zone,High,4,2025-11-10 02:56:47,OFF_020
COM_0053,"A resident on Park Street is running a noisy generator all day, generating excessive noise vibrations.",English,Public Health,West Zone,Low,5,2025-11-30 18:55:47,OFF_037
COM_0054,Commercial Street पर नाइट क्लब से रात 2 बजे के बाद बहुत तेज़ संगीत बज रहा है। निवासी सो नहीं पा रहे हैं।,Hindi,Public Health,East Zone,Low,5,2026-05-21 14:14:47,OFF_020
COM_0055,Brigade Road的水压已经降到了细流。洗碗或洗澡都很困难。,Chinese,Water Supply,East Zone,Low,11,2025-09-21 02:36:47,OFF_002
COM_0056,Presión de agua extremadamente baja en nuestro edificio en Outer Ring Road. Apenas nos llega agua a los pisos superiores.,Spanish,Water Supply,Central Zone,Low,17,2026-01-31 14:22:47,OFF_003
COM_0057,Ruido continuo de construcción por la noche en Commercial Street. Trabajan fuera del horario legal.,Spanish,Public Health,Central Zone,Low,6,2025-07-03 07:56:47,OFF_019
COM_0058,Les clôtures sont cassées et les bancs vandalisés dans le jardin public près de Sardar Patel Marg.,French,Housing & Infrastructure,North Zone,Low,15,2026-03-25 17:49:47,OFF_049
COM_0059,सीवर से लेकर Senapati Bapat Marg के फुटपाथ तक कॉकरोच फैल गए हैं।,Hindi,Public Health,East Zone,Medium,12,2025-12-08 14:06:47,OFF_020
COM_0060,La superficie de la carretera en Lal Bahadur Shastri Marg está llena de baches profundos. Necesita parches antes de un accidente.,Spanish,Traffic & Roads,South Zone,Medium,5,2025-11-07 22:37:47,OFF_019
COM_0061,"Linking Road के पास की फैक्ट्री से स्थानीय नाले में अवैध रसायन बहाया जा रहा है, जिससे मछलियां मर रही हैं।",Hindi,Environmental Protection,West Zone,High,4,2026-03-27 10:02:47,OFF_029
COM_0062,Multiple residents on Vittal Mallya Road report falling sick from tap water. The water color is yellowish and murky.,English,Water Supply,North Zone,High,3,2025-08-16 01:37:47,OFF_002
COM_0063,Les clôtures sont cassées et les bancs vandalisés dans le jardin public près de Lal Bahadur Shastri Marg.,French,Housing & Infrastructure,North Zone,Low,13,2026-04-14 22:03:47,OFF_049
COM_0064,Janpath公园内的游乐场设施损坏且生锈。对儿童玩耍很不安全。,Chinese,Housing & Infrastructure,North Zone,Low,10,2025-07-14 12:13:47,OFF_031
COM_0065,"A slab of pavement is missing on the sidewalk of Brigade Road, leaving an open muddy hole.",English,Housing & Infrastructure,East Zone,Low,5,2025-06-26 08:29:47,OFF_023
COM_0066,Los semáforos en la intersección de Hazratganj están apagados. El tráfico es un caos y hay peligro de choques.,Spanish,Traffic & Roads,West Zone,High,1,2025-08-26 01:46:47,OFF_019
COM_0067,Chhatrapati Shivaji Maharaj Marg附近的公共花园围栏破损，长椅遭到恶意破坏。,Chinese,Housing & Infrastructure,West Zone,Low,8,2026-01-20 19:23:47,OFF_024
COM_0068,The grocery store at Outer Ring Road is selling expired meat and dairy products. The smell is awful.,English,Public Health,Central Zone,High,4,2026-03-25 08:47:47,OFF_029
COM_0069,Bruit de chantier continu la nuit sur Outer Ring Road. Ils travaillent au-delà des heures légales.,French,Public Health,South Zone,Low,8,2025-07-22 06:31:47,OFF_021
COM_0070,Outer Ring Road上的一个变压器漏油并发出巨大的嗡嗡声。偶尔有火花冒出。,Chinese,Electricity & Power,North Zone,High,3,2025-10-15 23:43:47,OFF_018
COM_0071,Uneven sidewalk slabs at Senapati Bapat Marg make it impossible for wheelchair users to navigate safely.,English,Housing & Infrastructure,East Zone,Low,8,2025-11-25 06:47:47,OFF_023
COM_0072,Accumulation de terre et de verre brisé sur le côté de Linking Road. C'est dangereux pour les cyclistes.,French,Sanitation,North Zone,Low,7,2026-01-09 00:44:47,OFF_021
COM_0073,Varias farolas en Outer Ring Road no funcionan hace una semana. La calle está oscura y es insegura.,Spanish,Traffic & Roads,East Zone,Low,5,2025-08-04 17:03:47,OFF_019
COM_0074,Brigade Road门前的路灯不停闪烁。非常烦人，让我们无法入睡。,Chinese,Traffic & Roads,East Zone,Low,15,2025-10-27 23:02:47,OFF_020
COM_0075,"Linking Road के बीच में एक गहरा और खतरनाक गड्ढा है। कारें इससे बचने के लिए मुड़ रही हैं, जो कि जोखिम भरा है।",Hindi,Traffic & Roads,South Zone,Medium,10,2026-03-10 10:12:47,OFF_020
COM_0076,Overgrown weeds and trash piles in the local park at Park Street. It looks neglected and abandoned.,English,Housing & Infrastructure,North Zone,Low,13,2025-12-10 19:30:47,OFF_046
COM_0077,Presión de agua extremadamente baja en nuestro edificio en MG Road. Apenas nos llega agua a los pisos superiores.,Spanish,Water Supply,Central Zone,Low,14,2025-09-19 19:11:47,OFF_003
COM_0078,"Rejet chimique illégal de l'usine dans le ruisseau local près de Golf Course Road, tuant les poissons.",French,Environmental Protection,North Zone,High,2,2026-02-05 02:13:47,OFF_007
COM_0079,Necesitamos limpieza de calles en Vittal Mallya Road. Los escombros en el borde de la acera bloquean las alcantarillas.,Spanish,Sanitation,East Zone,Low,15,2025-08-16 12:48:47,OFF_013
COM_0080,我们在Sardar Patel Marg的自来水管道里流出脏水。有奇怪的残留物，请检查当地水库。,Chinese,Water Supply,North Zone,High,1,2026-01-11 07:01:47,OFF_002
COM_0081,La chaussée sur Chandni Chowk est pleine de nids-de-poule profonds. Il faut la réparer avant un accident grave.,French,Traffic & Roads,North Zone,Medium,3,2026-01-16 01:49:47,OFF_014
COM_0082,Netaji Subhash Chandra Bose Road上堆积了大量的落叶、泥土和砂石。扫路车已经一个月没来了。,Chinese,Sanitation,East Zone,Low,13,2026-03-14 05:11:47,OFF_020
COM_0083,Las losas de acera desiguales en Commercial Street hacen imposible que usuarios de sillas de ruedas circulen seguros.,Spanish,Housing & Infrastructure,South Zone,Low,10,2026-03-29 23:24:47,OFF_019
COM_0084,Grietas estructurales profundas descubiertas en el muro de contención del bloque de pisos en Sardar Patel Marg.,Spanish,Housing & Infrastructure,South Zone,High,1,2025-06-05 10:57:47,OFF_051
COM_0085,MG Road处的混凝土建筑外墙部分脱落掉在马路上。结构看起来很不安全。,Chinese,Housing & Infrastructure,South Zone,High,2,2025-12-30 15:14:47,OFF_053
COM_0086,ट्रक Chandni Chowk के पास रात में अवैध रूप से औद्योगिक कचरा डाल रहे हैं। रसायन मिट्टी में लीक हो रहे हैं।,Hindi,Environmental Protection,Central Zone,Medium,10,2025-09-19 18:09:47,OFF_029
COM_0087,在Vittal Mallya Road附近的林区发现非法砍伐活动。多棵树木被砍倒。,Chinese,Environmental Protection,North Zone,Medium,7,2026-05-15 02:38:47,OFF_039
COM_0088,"The factory near Mall Road is emitting thick, black chemical smoke. It is hard to breathe in the neighborhood.",English,Environmental Protection,Central Zone,High,3,2026-04-13 19:44:47,OFF_054
COM_0089,"Notre compteur d'électricité à Janpath est éteint, l'écran est vide mais le courant passe.",French,Electricity & Power,Central Zone,Low,10,2026-05-23 03:01:47,OFF_032
COM_0090,开发商在未获得环保许可的情况下，清除Commercial Street公共土地上的树木。,Chinese,Environmental Protection,West Zone,Medium,5,2025-11-18 13:32:47,OFF_017
COM_0091,Continuous loud construction noise at night on Golf Course Road. They are working past the legal curfew.,English,Public Health,East Zone,Low,5,2026-05-15 14:11:47,OFF_020
COM_0092,"Water is gushing out of the street near Dr. B.R. Ambedkar Road. The entire sidewalk is submerged, please send repair teams.",English,Water Supply,East Zone,High,2,2026-03-25 16:42:47,OFF_014
COM_0093,The street lamp in front of Chandni Chowk is flickering continuously. It's very annoying and keeps us awake.,English,Traffic & Roads,West Zone,Low,5,2026-04-01 08:29:47,OFF_017
COM_0094,Linking Road的水压已经降到了细流。洗碗或洗澡都很困难。,Chinese,Water Supply,West Zone,Low,8,2026-03-09 10:14:47,OFF_002
COM_0095,Golf Course Road公园内的游乐场设施损坏且生锈。对儿童玩耍很不安全。,Chinese,Housing & Infrastructure,Central Zone,Low,9,2026-04-30 21:24:47,OFF_031
COM_0096,Rupture massive de canalisation à Outer Ring Road. Des centaines de gallons d'eau propre sont gaspillés et inondent les maisons.,French,Water Supply,East Zone,High,1,2026-03-14 20:32:47,OFF_014
COM_0097,There is a major water main burst on Hazratganj. Flooding is spreading quickly on the road.,English,Water Supply,South Zone,High,2,2025-08-17 10:26:47,OFF_001
COM_0098,工厂向Jawaharlal Nehru Marg附近的溪流中非法排放化学物质，导致鱼类死亡。,Chinese,Environmental Protection,North Zone,High,3,2025-07-09 07:35:47,OFF_002
COM_0099,"Vittal Mallya Road के पास की फैक्ट्री से स्थानीय नाले में अवैध रसायन बहाया जा रहा है, जिससे मछलियां मर रही हैं।",Hindi,Environmental Protection,West Zone,High,2,2026-01-04 02:25:47,OFF_024
COM_0100,在Hazratganj附近的林区发现非法砍伐活动。多棵树木被砍倒。,Chinese,Environmental Protection,East Zone,Medium,5,2025-06-01 05:26:47,OFF_020
COM_0101,"Des tas de déchets malodorants sur le trottoir de Mall Road. Cela attire les rats, veuillez envoyer des camions.",French,Sanitation,North Zone,Low,5,2025-08-03 11:41:47,OFF_016
COM_0102,有人在Chandni Chowk路边倾倒电子电器和旧床垫。,Chinese,Environmental Protection,North Zone,Medium,8,2026-01-06 23:36:47,OFF_031
COM_0103,我们在SP Road的自来水管道里流出脏水。有奇怪的残留物，请检查当地水库。,Chinese,Water Supply,West Zone,High,2,2025-07-26 11:08:47,OFF_001
COM_0104,Chandni Chowk附近出现了一个大坑洼。今天已经有几辆车因此爆胎和车轮受损。,Chinese,Traffic & Roads,North Zone,Medium,3,2026-01-07 17:32:47,OFF_053
COM_0105,Mall Road के पास सड़क पर बिजली का तार गिरा हुआ है। यह चालू है और बेहद खतरनाक है।,Hindi,Electricity & Power,South Zone,High,1,2026-02-14 19:14:47,OFF_034
COM_0106,"Nuestro medidor de energía en Chandni Chowk está completamente apagado, la pantalla está en blanco.",Spanish,Electricity & Power,South Zone,Low,8,2025-09-07 04:45:47,OFF_035
COM_0107,"Lots of leaves, dirt, and gravel have accumulated on Senapati Bapat Marg. The street sweeper hasn't visited in a month.",English,Sanitation,West Zone,Low,17,2026-03-14 19:47:47,OFF_013
COM_0108,"Le transformateur électrique a explosé avec un grand bruit à Vittal Mallya Road. De la fumée s'élève, plus de courant.",French,Electricity & Power,North Zone,High,3,2025-10-16 17:10:47,OFF_032
COM_0109,The street lamp in front of Vittal Mallya Road is flickering continuously. It's very annoying and keeps us awake.,English,Traffic & Roads,West Zone,Medium,7,2026-04-24 01:46:47,OFF_019
COM_0110,"SP Road पर हमारा बिजली मीटर पूरी तरह से बंद है, स्क्रीन खाली है लेकिन बिजली अभी भी चल रही है।",Hindi,Electricity & Power,Central Zone,Low,7,2026-03-17 19:19:47,OFF_033
COM_0111,टूटी हुई लाइटों के कारण Linking Road पर सड़क पर अंधेरा है। यह रात के यात्रियों के लिए एक सुरक्षा खतरा है।,Hindi,Traffic & Roads,North Zone,Low,12,2025-07-11 15:48:47,OFF_021
COM_0112,Vertido ilegal de bolsas de basura doméstica en Vittal Mallya Road. Bloquea el acceso peatonal y genera insalubridad.,Spanish,Sanitation,West Zone,Medium,6,2025-12-01 11:05:47,OFF_010
COM_0113,"Janpath पर ट्रैफिक सिग्नल सभी दिशाओं में लाल रंग पर अटका हुआ है। भारी ट्रैफिक जाम, कृपया अधिकारी भेजें।",Hindi,Traffic & Roads,North Zone,High,1,2025-11-13 02:42:47,OFF_021
COM_0114,Odeur fétide de soufre provenant de l'usine industrielle à Janpath. Cela donne des maux de tête.,French,Environmental Protection,South Zone,High,3,2025-11-03 19:51:47,OFF_001
COM_0115,"Descarga química ilegal de la fábrica en el arroyo local cerca de Jawaharlal Nehru Marg, matando peces.",Spanish,Environmental Protection,East Zone,High,3,2026-05-07 22:00:47,OFF_006
COM_0116,有人在Golf Course Road附近的自然保护公园内擅自砍伐受保护的古树。,Chinese,Environmental Protection,Central Zone,Medium,5,2025-08-29 05:28:47,OFF_039
COM_0117,Los juegos del parque infantil en Linking Road están rotos y oxidados. Es peligroso para los niños.,Spanish,Housing & Infrastructure,South Zone,High,9,2025-11-17 18:15:47,OFF_049
COM_0118,El transformador eléctrico explotó con un fuerte estallido en Brigade Road. Sale humo y no hay luz.,Spanish,Electricity & Power,Central Zone,High,2,2026-01-08 00:33:47,OFF_033
COM_0119,La farola frente a Janpath parpadea continuamente. Es muy molesto y no nos deja dormir.,Spanish,Traffic & Roads,East Zone,Low,10,2026-02-26 06:26:47,OFF_031
COM_0120,Maleza alta y basura en el parque local de SP Road. Parece descuidado y abandonado.,Spanish,Housing & Infrastructure,West Zone,Low,15,2025-12-10 15:40:47,OFF_010
COM_0121,Una plaga de cucarachas se ha extendido de los desagües del alcantarillado a la acera en Linking Road.,Spanish,Public Health,East Zone,Medium,10,2026-03-08 02:52:47,OFF_027
COM_0122,"A slab of pavement is missing on the sidewalk of Jawaharlal Nehru Marg, leaving an open muddy hole.",English,Housing & Infrastructure,South Zone,Low,8,2026-01-07 02:05:47,OFF_053
COM_0123,Les égouts débordent sur Golf Course Road. Des eaux usées noires et malodorantes inondent la rue et les allées.,French,Sanitation,North Zone,High,2,2025-12-12 01:30:47,OFF_002
COM_0124,Les ordures n'ont pas été ramassées sur Mall Road depuis plus de deux semaines. Les bacs débordent sur la rue.,French,Sanitation,South Zone,Medium,6,2026-05-20 03:55:47,OFF_016
COM_0125,"MG Road के पास की फैक्ट्री से स्थानीय नाले में अवैध रसायन बहाया जा रहा है, जिससे मछलियां मर रही हैं।",Hindi,Environmental Protection,North Zone,High,4,2026-04-05 15:34:47,OFF_024
COM_0126,"Nos sale agua sucia de los grifos en Dr. B.R. Ambedkar Road. Tiene un residuo extraño, por favor revisen el depósito local.",Spanish,Water Supply,North Zone,High,4,2026-01-18 01:14:47,OFF_006
COM_0127,MG Road附近的公共花园围栏破损，长椅遭到恶意破坏。,Chinese,Housing & Infrastructure,Central Zone,Low,9,2026-01-02 23:46:47,OFF_052
COM_0128,Brigade Road附近出现了一个大坑洼。今天已经有几辆车因此爆胎和车轮受损。,Chinese,Traffic & Roads,North Zone,Medium,4,2026-02-22 16:39:47,OFF_053
COM_0129,Lal Bahadur Shastri Marg的水泥人行道被树根拱起开裂，造成严重绊倒隐患。,Chinese,Housing & Infrastructure,West Zone,Medium,8,2025-06-06 10:57:47,OFF_053
COM_0130,Varios residentes en Dr. B.R. Ambedkar Road informan haberse enfermado por el agua del grifo. El agua es amarillenta y turbia.,Spanish,Water Supply,Central Zone,High,1,2025-06-20 10:41:47,OFF_008
COM_0131,Calle oscura en Vittal Mallya Road debido a luminarias rotas. Es un peligro para quienes viajan de noche.,Spanish,Traffic & Roads,West Zone,Low,5,2026-01-18 00:25:47,OFF_019
COM_0132,La basura no se ha recogido en Mall Road durante más de dos semanas. Los contenedores se desbordan en la calle.,Spanish,Sanitation,East Zone,Medium,8,2025-10-05 00:55:47,OFF_013
COM_0133,Des camions déversent des déchets industriels la nuit près de Netaji Subhash Chandra Bose Road. Les produits s'infiltrent dans le sol.,French,Environmental Protection,East Zone,Medium,8,2025-12-19 22:35:47,OFF_014
COM_0134,La tienda de comestibles en Senapati Bapat Marg vende carne y lácteos vencidos. El olor es horrible.,Spanish,Public Health,East Zone,High,2,2026-01-01 01:34:47,OFF_006
COM_0135,Mall Road附近的马路上有一根掉落的电缆。它仍然带电，极其危险。,Chinese,Electricity & Power,North Zone,High,2,2026-01-12 18:52:47,OFF_031
COM_0136,हमने Vittal Mallya Road के पार्क में बच्चों के खेलने के क्षेत्र के पास ततैया का एक बड़ा झुंड देखा है।,Hindi,Public Health,North Zone,Medium,8,2026-01-06 07:47:47,OFF_024
COM_0137,Deep structural cracking discovered in the retaining wall of the apartment block at Lal Bahadur Shastri Marg.,English,Housing & Infrastructure,East Zone,High,4,2025-08-17 23:16:47,OFF_048
COM_0138,"Linking Road पर कंक्रीट का फुटपाथ पेड़ की जड़ों से मुड़ गया है और टूट गया है, जिससे गिरने का खतरा है।",Hindi,Housing & Infrastructure,North Zone,Low,10,2025-11-30 11:43:47,OFF_042
COM_0139,"Durante los últimos tres días, el flujo de agua es muy débil en Vittal Mallya Road. Por favor investiguen las líneas de suministro.",Spanish,Water Supply,East Zone,Low,10,2025-08-07 15:30:47,OFF_005
COM_0140,J'ai vu des rats courir dans la cuisine du restaurant sur Dr. B.R. Ambedkar Road. C'est une menace majeure pour l'hygiène.,French,Public Health,North Zone,High,5,2025-12-13 16:14:47,OFF_025
COM_0141,Janpath के चौराहे पर ट्रैफिक लाइट पूरी तरह से बंद है। यातायात अव्यवस्थित है और दुर्घटना का खतरा है।,Hindi,Traffic & Roads,East Zone,High,1,2025-07-30 04:01:47,OFF_020
COM_0142,Varios residentes en Vittal Mallya Road informan haberse enfermado por el agua del grifo. El agua es amarillenta y turbia.,Spanish,Water Supply,North Zone,High,3,2025-11-22 21:11:47,OFF_006
COM_0143,"Notre compteur d'électricité à Brigade Road est éteint, l'écran est vide mais le courant passe.",French,Electricity & Power,South Zone,Low,7,2025-09-08 03:22:47,OFF_032
COM_0144,Overgrown weeds and trash piles in the local park at Park Street. It looks neglected and abandoned.,English,Housing & Infrastructure,Central Zone,Low,11,2025-07-12 01:26:47,OFF_049
COM_0145,"Golf Course Road का एक निवासी पूरे दिन शोर करने वाला जनरेटर चला रहा है, जिससे अत्यधिक शोर कंपन पैदा हो रहा है।",Hindi,Public Health,West Zone,Low,5,2025-11-07 19:11:47,OFF_017
COM_0146,Linking Road的杂货店正在出售过期的肉类和奶制品。气味非常难闻。,Chinese,Public Health,Central Zone,High,1,2026-01-05 16:05:47,OFF_024
COM_0147,Deep structural cracking discovered in the retaining wall of the apartment block at Linking Road.,English,Housing & Infrastructure,East Zone,High,3,2025-09-21 10:40:47,OFF_048
